gameid,date,patch,gamelength,blue_team,red_team,blue_win,blue_champ1,blue_champ2,blue_champ3,blue_champ4,blue_champ5,red_champ1,red_champ2,red_champ3,red_champ4,red_champ5,blue_kills,red_kills,blue_gold,red_gold,blue_dragons,red_dragons,blue_barons,red_barons,blue_towers,red_towers,blue_ban1,red_ban1,blue_ban2,red_ban2,blue_ban3,red_ban3,blue_ban4,red_ban4,blue_ban5,red_ban5,blue_top,red_top,blue_jng,red_jng,blue_mid,red_mid,blue_bot,red_bot,blue_sup,red_sup
LCK CL/2023 Season/Spring Season_Week 7_5_2,2023-02-28 11:24:00,13.4,36.033333333333,BRION Challengers,Dplus KIA Challengers,1,Sion,Maokai,Syndra,Zeri,Lulu,Renekton,Wukong,Kassadin,Draven,Annie,24,8,66816,58890,5,0,1,1,6,2,Caitlyn,Elise,Jayce,Lee Sin,Ashe,Heimerdinger,Nautilus,Tristana,Gnar,Azir,Frim,Thanatos (Park Seung-kyu),Raptor (Jeon Eo-jin),Lucid (Choi Yong-hyeok),Ivory,Pullbae,Enosh,Rahel,Pollu,Loopy
LCK CL/2023 Season/Spring Season_Week 7_5_1,2023-02-28 10:31:00,13.4,30.383333333333,Dplus KIA Challengers,BRION Challengers,1,Camille,Lee Sin,Ryze,Varus,Nautilus,Gnar,Wukong,Azir,Zeri,Lulu,12,2,59943,43598,4,1,1,0,9,0,Annie,Elise,Heimerdinger,Caitlyn,Taliyah,Ashe,Renekton,Jayce,Sylas,Irelia,Thanatos (Park Seung-kyu),Frim,Lucid (Choi Yong-hyeok),Raptor (Jeon Eo-jin),Pullbae,Ivory,Rahel,Enosh,Loopy,Gyosoo
LCK CL/2023 Season/Spring Season_Week 7_4_2,2023-02-28 09:01:00,13.4,26.35,Gen.G Global Academy,Hanwha Life Esports Challengers,0,K'Sante,Sejuani,Sylas,Jhin,Rakan,Renekton,Lee Sin,Akali,Varus,Renata Glasc,8,23,43973,53875,0,4,0,1,2,9,Heimerdinger,Elise,Caitlyn,Ashe,Annie,Jayce,LeBlanc,Gnar,Taliyah,Jax,Zest (Kim Dong-min),Rooster,Winner (Woo Joo-sung),Guwon,Quid,Loki (Lee Sang-min),Carfe,Lure (Shin Jae-yoon),Lospa,Duro
LCK CL/2023 Season/Spring Season_Week 7_4_1,2023-02-28 08:08:00,13.4,31.85,Gen.G Global Academy,Hanwha Life Esports Challengers,0,Renekton,Sejuani,Akali,Jhin,Rakan,K'Sante,Lee Sin,Sylas,Varus,Annie,10,20,53199,59168,1,4,0,2,3,8,Heimerdinger,Elise,Caitlyn,Ashe,Wukong,Jayce,Ornn,Blitzcrank,LeBlanc,Nautilus,Casting,Rooster,Winner (Woo Joo-sung),Guwon,Quid,Loki (Lee Sang-min),Carfe,Lure (Shin Jae-yoon),Lospa,Duro
LCK CL/2023 Season/Spring Season_Week 7_3_3,2023-02-27 12:55:00,13.4,36.166666666667,T1 Challengers,KT Rolster Challengers,1,Fiora,Sejuani,Viktor,Nilah,Annie,Renekton,Lee Sin,Azir,Zeri,Lulu,16,6,68807,61283,4,2,1,1,10,3,Varus,Ashe,Syndra,Elise,Karma,Caitlyn,Ryze,Jayce,LeBlanc,Nautilus,Dal,PerfecT (Lee Seung-min),Forest (Lee Hyeon-seo),HamBak,Bay,Feisty,Smash (Sin Geum-jae),Hype (Byeon Jeong-hyeon),Baut,Reble
LCK CL/2023 Season/Spring Season_Week 7_3_2,2023-02-27 11:55:00,13.4,36.65,KT Rolster Challengers,T1 Challengers,1,Gragas,Lee Sin,Azir,Caitlyn,Lux,K'Sante,Maokai,Viktor,Jhin,Heimerdinger,12,6,64706,54466,3,3,2,0,10,2,Varus,Elise,Annie,Syndra,Sejuani,Ashe,Vi,Ryze,Renekton,LeBlanc,PerfecT (Lee Seung-min),Dal,HamBak,Forest (Lee Hyeon-seo),Feisty,Bay,Hype (Byeon Jeong-hyeon),Smash (Sin Geum-jae),Reble,Baut
LCK CL/2023 Season/Spring Season_Week 7_3_1,2023-02-27 11:00:00,13.4,34.6,T1 Challengers,KT Rolster Challengers,1,K'Sante,Sejuani,Annie,Zeri,Lulu,Renekton,Vi,Azir,Lucian,Nami,16,10,65614,60289,2,3,2,0,7,6,Varus,Elise,Syndra,Ashe,Karma,Caitlyn,Ryze,Sylas,Viktor,Jayce,Dal,Castle (Cho Hyeon-seong),Forest (Lee Hyeon-seo),HamBak,Bay,Feisty,Smash (Sin Geum-jae),Hype (Byeon Jeong-hyeon),Baut,Reble
LCK CL/2023 Season/Spring Season_Week 7_2_2,2023-02-27 09:42:00,13.4,26.033333333333,Kwangdong Freecs Challengers,Nongshim Esports Academy,0,Kennen,Lee Sin,Ryze,Draven,Nautilus,Gnar,Bel'Veth,Viktor,Nilah,Braum,5,18,39273,48883,3,0,0,1,1,7,Wukong,Elise,Renekton,Ashe,Sejuani,Annie,K'Sante,Gangplank,Jax,Jayce,IlllIma,Mihile,Courage (Jeon Hyun-min),Sounda,Cleaver,Calix (Syun Hyun-bin),Bull,Jiwoo,Andil,HH (Lee Hyun-ho)
LCK CL/2023 Season/Spring Season_Week 7_2_1,2023-02-27 08:45:00,13.4,35.216666666667,Kwangdong Freecs Challengers,Nongshim Esports Academy,0,Camille,Lee Sin,Annie,Draven,Nautilus,Gnar,Sejuani,Gragas,Zeri,Braum,13,26,58119,67858,2,3,0,1,2,8,Wukong,Elise,Renekton,Ashe,Varus,Caitlyn,K'Sante,Vi,Jax,Gangplank,IlllIma,Mihile,Courage (Jeon Hyun-min),Sounda,Cleaver,Calix (Syun Hyun-bin),Bull,Jiwoo,Andil,HH (Lee Hyun-ho)
LCK CL/2023 Season/Spring Season_Week 7_1_3,2023-02-27 07:08:00,13.4,42.116666666667,Liiv SANDBOX Youth,DRX Challengers,0,Renekton,Vi,Annie,Xayah,Rakan,K'Sante,Sejuani,Azir,Zeri,Lulu,15,25,67820,82263,4,2,1,2,1,11,Caitlyn,Ashe,Ryze,Varus,Elise,Draven,Gnar,Kalista,Gwen,Lucian,DDahyuk,Clear (Song Hyeon-min),Vincenzo (Ha Seung-min),Sponge,Guti (Moon Jeong-hwan),Starlit,Diable,Pleata,PlanB,Piero (Kim Jung-hun)
LCK CL/2023 Season/Spring Season_Week 7_1_2,2023-02-27 06:06:00,13.4,34.9,DRX Challengers,Liiv SANDBOX Youth,1,Gnar,Sejuani,Viktor,Lucian,Nami,K'Sante,Wukong,Akali,Zeri,Lulu,13,12,67678,56150,2,3,1,0,11,1,Varus,Elise,Annie,Ashe,Vi,Caitlyn,Renekton,Ryze,Jax,Jayce,Clear (Song Hyeon-min),DDahyuk,Sponge,Vincenzo (Ha Seung-min),SeTab,Guti (Moon Jeong-hwan),Pleata,Diable,Piero (Kim Jung-hun),PlanB
LCK CL/2023 Season/Spring Season_Week 7_1_1,2023-02-27 05:10:00,13.4,37.866666666667,DRX Challengers,Liiv SANDBOX Youth,0,Gangplank,Sejuani,Ryze,Lucian,Nami,Renekton,Vi,Ahri,Zeri,Lulu,15,20,70387,73727,3,2,0,2,4,9,Varus,Elise,Annie,Ashe,Heimerdinger,Caitlyn,Taliyah,Gnar,Jax,Jayce,Clear (Song Hyeon-min),DDahyuk,Sponge,Vincenzo (Ha Seung-min),SeTab,Guti (Moon Jeong-hwan),Pleata,Diable,Piero (Kim Jung-hun),PlanB
LCK/2023 Season/Spring Season_Week 6_10_2,2023-02-26 10:52:00,13.3,29.366666666667,Kwangdong Freecs,Hanwha Life Esports,0,Jayce,Sejuani,Yone,Ezreal,Karma,Camille,Vi,Sylas,Zeri,Lulu,3,18,47783,56375,2,2,0,1,3,8,Elise,Annie,Caitlyn,Maokai,Ashe,Varus,Kassadin,Jax,Akali,Fiora,DuDu (Lee Dong-ju),Kingen,YoungJae,Clid,BuLLDoG (Lee Tae-young),ZEKA (Kim Geon-woo),Taeyoon,Viper (Park Do-hyeon),Jun (Yoon Se-jun),Life
LCK/2023 Season/Spring Season_Week 6_10_1,2023-02-26 10:00:00,13.3,29.183333333333,Hanwha Life Esports,Kwangdong Freecs,1,Gnar,Nidalee,Azir,Caitlyn,Lux,Renekton,Wukong,Taliyah,Jhin,Karma,5,2,52869,43918,4,0,1,0,9,2,Annie,Elise,Varus,Ashe,Sejuani,Maokai,Jax,Yone,Akali,Jayce,Kingen,DuDu (Lee Dong-ju),Clid,YoungJae,ZEKA (Kim Geon-woo),BuLLDoG (Lee Tae-young),Viper (Park Do-hyeon),Taeyoon,Life,Jun (Yoon Se-jun)
LCK/2023 Season/Spring Season_Week 6_9_3,2023-02-26 08:06:00,13.3,46.483333333333,BRION,DRX,0,Gragas,Vi,Akali,Varus,Heimerdinger,K'Sante,Sejuani,Jayce,Ezreal,Karma,15,23,75345,85783,2,4,0,3,5,10,Caitlyn,Maokai,Ashe,Elise,Annie,Lucian,Jax,Fiora,Renekton,Camille,Morgan,Rascal,UmTi,Juhan,Karis,FATE (Yoo Su-hyeok),Hena,deokdam,Effort,BeryL
LCK/2023 Season/Spring Season_Week 6_9_2,2023-02-26 07:12:00,13.3,33.05,DRX,BRION,1,Jax,Sejuani,Annie,Varus,Heimerdinger,Renekton,Vi,Orianna,Zeri,Lulu,14,7,65926,53009,5,0,2,0,10,3,Karma,Maokai,Lucian,Ashe,Elise,Caitlyn,Kassadin,Wukong,Azir,Lee Sin,Rascal,Morgan,Juhan,UmTi,FATE (Yoo Su-hyeok),Karis,deokdam,Hena,BeryL,Effort
LCK/2023 Season/Spring Season_Week 6_9_1,2023-02-26 06:05:00,13.3,42.733333333333,BRION,DRX,1,Fiora,Sejuani,Akali,Zeri,Lulu,Gragas,Vi,Sylas,Lucian,Nami,13,7,77207,68683,2,4,2,0,11,2,Caitlyn,Maokai,Ashe,Elise,Annie,Varus,LeBlanc,Gnar,Renekton,Jax,Morgan,Rascal,UmTi,Croco,Karis,FATE (Yoo Su-hyeok),Hena,Pleata,Effort,BeryL
LCK/2023 Season/Spring Season_Week 6_8_3,2023-02-25 10:55:00,13.3,29.716666666667,Nongshim RedForce,Liiv SANDBOX,0,K'Sante,Vi,Corki,Lucian,Nami,Gnar,Wukong,Azir,Zeri,Lulu,7,19,48774,57930,1,3,0,1,2,9,Ashe,Annie,Caitlyn,Maokai,Karma,Elise,Akali,Renekton,Kassadin,LeBlanc,DnDn,Burdol,Sylvie,Willer,FIESTA (An Hyeon-seo),Clozer,vital,Envyy,Peter (Jeong Yoon-su),Kael (Kim Jin-hong)
LCK/2023 Season/Spring Season_Week 6_8_2,2023-02-25 09:52:00,13.3,40.133333333333,Liiv SANDBOX,Nongshim RedForce,1,Gnar,Vi,LeBlanc,Varus,Caitlyn,Jax,Sejuani,Akali,Ezreal,Karma,24,10,78693,65881,4,2,2,0,11,3,Annie,Ashe,Elise,Maokai,Zeri,Lucian,Renekton,Sylas,Jayce,Kassadin,Burdol,DnDn,Willer,Sylvie,Clozer,FIESTA (An Hyeon-seo),Envyy,vital,Kael (Kim Jin-hong),Peter (Jeong Yoon-su)
LCK/2023 Season/Spring Season_Week 6_8_1,2023-02-25 08:37:00,13.3,51.8,Nongshim RedForce,Liiv SANDBOX,1,Gangplank,Sejuani,Annie,Ezreal,Karma,Jax,Wukong,Orianna,Varus,Caitlyn,20,10,96799,94009,5,3,1,4,7,7,Ashe,Elise,Zeri,Lucian,Akali,Maokai,Kassadin,Renekton,Sylas,Jayce,DnDn,Burdol,Sylvie,Willer,FIESTA (An Hyeon-seo),Clozer,vital,Envyy,Peter (Jeong Yoon-su),Kael (Kim Jin-hong)
LCK/2023 Season/Spring Season_Week 6_7_2,2023-02-25 06:51:00,13.3,27.166666666667,T1,KT Rolster,1,K'Sante,Vi,Annie,Draven,Varus,Gwen,Wukong,Gragas,Lucian,Nami,18,9,57055,45045,4,0,1,0,11,1,Maokai,Ashe,Sejuani,Elise,Karma,Caitlyn,Jax,Kalista,Viktor,Jayce,Zeus,Kiin,Oner,Cuzz,Faker,Bdd,Gumayusi,Aiming,Keria,Lehends
LCK/2023 Season/Spring Season_Week 6_7_1,2023-02-25 06:05:00,13.3,23.883333333333,T1,KT Rolster,1,Gnar,Vi,Annie,Lucian,Nami,Camille,Wukong,Azir,Zeri,Lulu,13,2,49550,35144,3,0,1,0,11,0,Maokai,Ashe,Sejuani,Elise,Karma,Caitlyn,Jax,Jayce,Viktor,Lee Sin,Zeus,Kiin,Oner,Cuzz,Faker,Bdd,Gumayusi,Aiming,Keria,Lehends
LCK/2023 Season/Spring Season_Week 6_6_2,2023-02-24 11:35:00,13.3,38.933333333333,Kwangdong Freecs,Dplus KIA,0,Fiora,Wukong,Taliyah,Varus,Heimerdinger,Jax,Sejuani,Kassadin,Ezreal,Karma,11,25,69248,76751,4,2,1,2,7,9,Caitlyn,Maokai,Elise,Ashe,Jayce,Annie,Renekton,Gragas,Yone,Akali,DuDu (Lee Dong-ju),Canna,YoungJae,Canyon,BuLLDoG (Lee Tae-young),ShowMaker,Taeyoon,Deft,Jun (Yoon Se-jun),Kellin
LCK/2023 Season/Spring Season_Week 6_6_1,2023-02-24 10:36:00,13.3,36.516666666667,Dplus KIA,Kwangdong Freecs,1,Gnar,Lee Sin,Akali,Ezreal,Ashe,Jax,Wukong,Lissandra,Varus,Karma,21,8,70606,61006,2,3,2,0,10,3,Maokai,Elise,Annie,Caitlyn,Sejuani,Jayce,Renekton,LeBlanc,Sylas,Azir,Canna,DuDu (Lee Dong-ju),Canyon,YoungJae,ShowMaker,BuLLDoG (Lee Tae-young),Deft,Taeyoon,Kellin,Jun (Yoon Se-jun)
LCK/2023 Season/Spring Season_Week 6_5_2,2023-02-24 08:55:00,13.3,27.166666666667,DRX,Gen.G,0,Jax,Wukong,Viktor,Lucian,Nami,Gragas,Vi,Taliyah,Zeri,Lulu,4,15,42027,56133,0,4,0,1,2,11,Annie,Ashe,Karma,Maokai,Elise,Caitlyn,Kassadin,Akali,Azir,Renekton,Rascal,Doran (Choi Hyeon-joon),Croco,Peanut,FATE (Yoo Su-hyeok),Chovy,Pleata,Peyz,BeryL,Delight
LCK/2023 Season/Spring Season_Week 6_5_1,2023-02-24 08:07:00,13.3,26.133333333333,Gen.G,DRX,1,Jax,Sejuani,Annie,Zeri,Lulu,Gragas,Vi,Azir,Lucian,Nami,16,5,54319,39707,3,0,1,0,11,0,Varus,Maokai,Heimerdinger,Ashe,Elise,Caitlyn,Renekton,Lee Sin,Kassadin,Wukong,Doran (Choi Hyeon-joon),Rascal,Peanut,Croco,Chovy,FATE (Yoo Su-hyeok),Peyz,Pleata,Delight,BeryL
LCK CL/2023 Season/Spring Season_Week 6_9_3,2023-02-24 07:07:00,13.3,35.7,Hanwha Life Esports Challengers,DRX Challengers,0,Jax,Sejuani,Sylas,Ziggs,Pyke,Renekton,Vi,Akali,Varus,Nautilus,12,16,58740,67630,1,4,0,1,2,11,Heimerdinger,Maokai,Ryze,Ashe,Caitlyn,Elise,Azir,Jayce,Syndra,Gnar,Rooster,Clear (Song Hyeon-min),Guwon,Sponge,Roamer,SeTab,Lure (Shin Jae-yoon),Paduck,Duro,Piero (Kim Jung-hun)
LCK CL/2023 Season/Spring Season_Week 6_10_3,2023-02-24 06:43:00,13.3,41.05,T1 Challengers,Kwangdong Freecs Challengers,0,Fiora,Nidalee,Taliyah,Jhin,Ashe,Jax,Sejuani,Irelia,Varus,Pyke,16,27,73876,81719,1,4,1,1,5,11,Annie,Maokai,Lee Sin,Elise,Ryze,Renekton,Yone,Sett,Jayce,Sion,Dal,IlllIma,Forest (Lee Hyeon-seo),Courage (Jeon Hyun-min),Bay,Cleaver,Smash (Sin Geum-jae),Bull,Baut,Andil
LCK CL/2023 Season/Spring Season_Week 6_9_2,2023-02-24 06:09:00,13.3,36.5,DRX Challengers,Hanwha Life Esports Challengers,1,Renekton,Vi,Ryze,Caitlyn,Lux,Gragas,Lee Sin,Annie,Jhin,Heimerdinger,24,17,75003,59904,3,2,2,0,11,1,Varus,Elise,Sejuani,Maokai,Karma,Ashe,LeBlanc,Wukong,Syndra,Jarvan IV,Clear (Song Hyeon-min),Rooster,Sponge,Guwon,SeTab,Roamer,Paduck,Lure (Shin Jae-yoon),Piero (Kim Jung-hun),Duro
LCK CL/2023 Season/Spring Season_Week 6_10_2,2023-02-24 05:56:00,13.3,27.083333333333,Kwangdong Freecs Challengers,T1 Challengers,1,Sion,Viego,Annie,Draven,Nautilus,Jayce,Trundle,Ryze,Caitlyn,Braum,23,8,56130,44247,2,1,1,0,8,2,Maokai,Sejuani,Ashe,Lucian,Elise,Lee Sin,Taliyah,Vi,Renekton,Gnar,IlllIma,Dal,Courage (Jeon Hyun-min),Forest (Lee Hyeon-seo),Cleaver,Bay,Bull,Smash (Sin Geum-jae),Andil,Baut
LCK CL/2023 Season/Spring Season_Week 6_9_1,2023-02-24 05:07:00,13.3,38.65,Hanwha Life Esports Challengers,DRX Challengers,1,Gnar,Sejuani,Viktor,Varus,Karma,Gwen,Wukong,Azir,Zeri,Lulu,15,6,72223,60590,5,0,2,0,10,3,Annie,Maokai,Heimerdinger,Ashe,Caitlyn,Elise,Ryze,Syndra,Jayce,Sylas,Rooster,Clear (Song Hyeon-min),Guwon,Sponge,Roamer,SeTab,Lure (Shin Jae-yoon),Paduck,Duro,Piero (Kim Jung-hun)
LCK CL/2023 Season/Spring Season_Week 6_10_1,2023-02-24 05:07:00,13.3,27.65,Kwangdong Freecs Challengers,T1 Challengers,0,Gangplank,Wukong,Annie,Draven,Nautilus,Jax,Taliyah,Ryze,Caitlyn,Braum,3,22,44008,58251,1,2,0,2,0,10,Maokai,Sejuani,Elise,Lucian,Ashe,Lee Sin,Jayce,Vi,Renekton,Gnar,IlllIma,Dal,Courage (Jeon Hyun-min),Forest (Lee Hyeon-seo),Cleaver,Bay,Bull,Smash (Sin Geum-jae),Andil,Baut
LCK/2023 Season/Spring Season_Week 6_4_2,2023-02-23 12:34:00,13.3,27.766666666667,Liiv SANDBOX,T1,0,Gnar,Sejuani,Sylas,Ezreal,Ashe,Yasuo,Lee Sin,Gragas,Jhin,Caitlyn,12,24,46192,60223,0,4,0,1,1,10,Jayce,Maokai,Annie,Lucian,Varus,Elise,Nidalee,Jax,LeBlanc,Akali,Burdol,Zeus,Willer,Oner,Clozer,Faker,Envyy,Gumayusi,Kael (Kim Jin-hong),Keria
LCK/2023 Season/Spring Season_Week 6_4_1,2023-02-23 11:40:00,13.3,30.7,T1,Liiv SANDBOX,1,Gnar,Wukong,Gragas,Lucian,Nami,Azir,Vi,Sylas,Zeri,Lulu,15,10,59227,50672,3,1,1,0,11,1,Maokai,Ashe,Annie,Elise,Karma,Caitlyn,Akali,Jayce,Jax,Viktor,Zeus,Burdol,Oner,Willer,Faker,Clozer,Gumayusi,Envyy,Keria,Kael (Kim Jin-hong)
LCK/2023 Season/Spring Season_Week 6_3_3,2023-02-23 10:10:00,13.3,30.316666666667,Hanwha Life Esports,BRION,1,Gnar,Lee Sin,Akali,Caitlyn,Lux,Fiora,Vi,Ryze,Ezreal,Karma,13,5,61126,47551,3,2,2,0,11,1,Lucian,Ashe,Elise,Maokai,Varus,Kassadin,Renekton,Sejuani,Jax,Wukong,Kingen,Morgan,Clid,UmTi,ZEKA (Kim Geon-woo),Karis,Viper (Park Do-hyeon),Hena,Life,Effort
LCK/2023 Season/Spring Season_Week 6_3_2,2023-02-23 09:06:00,13.3,42.633333333333,BRION,Hanwha Life Esports,1,Jax,Vi,Akali,Varus,Karma,Gnar,Nidalee,Sylas,Caitlyn,Lux,17,7,85638,72048,6,0,2,0,10,2,Ashe,Maokai,Lucian,Elise,Zeri,Sejuani,Jayce,Viktor,Yone,Renekton,Morgan,Kingen,UmTi,Clid,Karis,ZEKA (Kim Geon-woo),Hena,Viper (Park Do-hyeon),Effort,Life
LCK/2023 Season/Spring Season_Week 6_3_1,2023-02-23 08:07:00,13.3,37.116666666667,Hanwha Life Esports,BRION,1,Gnar,Vi,Kassadin,Zeri,Lulu,Camille,Sejuani,Azir,Xayah,Annie,17,6,73498,59082,3,3,1,0,9,1,Lucian,Ashe,Elise,Maokai,Varus,Caitlyn,Renekton,Sylas,Jax,Akali,Kingen,Morgan,Clid,UmTi,ZEKA (Kim Geon-woo),Karis,Viper (Park Do-hyeon),Hena,Life,Effort
LCK CL/2023 Season/Spring Season_Week 6_7_3,2023-02-23 06:57:00,13.3,26.066666666667,Dplus KIA Challengers,Gen.G Global Academy,1,Renekton,Sejuani,Taliyah,Sivir,Heimerdinger,Ornn,Vi,Sylas,Varus,Rakan,17,6,49924,40691,3,0,0,0,7,0,Jayce,Wukong,Ashe,Annie,Maokai,Elise,Ahri,Ryze,Akali,Kassadin,Thanatos (Park Seung-kyu),Casting,Lucid (Choi Yong-hyeok),Winner (Woo Joo-sung),Pullbae,Quid,Rahel,Carfe,Loopy,Lospa
LCK CL/2023 Season/Spring Season_Week 6_6_2,2023-02-23 06:06:00,13.3,32.516666666667,Liiv SANDBOX Youth,BRION Challengers,0,Jax,Sejuani,Sylas,Draven,Nautilus,Renekton,Vi,Taliyah,Zeri,Lulu,14,26,57625,64311,2,3,0,1,4,8,Heimerdinger,Ashe,Elise,Caitlyn,Lee Sin,Tristana,Ryze,Irelia,Kassadin,Jayce,DDahyuk,Frim,Vincenzo (Ha Seung-min),Raptor (Jeon Eo-jin),Guti (Moon Jeong-hwan),Ivory,Diable,Enosh,PlanB,Pollu
LCK CL/2023 Season/Spring Season_Week 6_8_2,2023-02-23 06:03:00,13.3,36.05,KT Rolster Challengers,Nongshim Esports Academy,0,Fiora,Sejuani,Sylas,Jhin,Karma,K'Sante,Viego,Akali,Varus,Nautilus,11,16,61356,66246,1,4,1,1,4,7,Annie,Elise,Nilah,Maokai,Wukong,Ashe,Renekton,Ryze,Kassadin,Syndra,PerfecT (Lee Seung-min),Mihile,HamBak,Sounda,Feisty,Calix (Syun Hyun-bin),Hype (Byeon Jeong-hyeon),Jiwoo,Way (Han Gil),HH (Lee Hyun-ho)
LCK CL/2023 Season/Spring Season_Week 6_7_2,2023-02-23 05:59:00,13.3,36.1,Gen.G Global Academy,Dplus KIA Challengers,1,Ornn,Maokai,Jayce,Jhin,Pyke,Renekton,Lee Sin,Azir,Caitlyn,Lux,18,9,69251,61004,3,1,1,0,10,3,Wukong,Elise,Annie,Sejuani,Ashe,Varus,LeBlanc,Karma,Ryze,Tristana,Casting,Thanatos (Park Seung-kyu),Winner (Woo Joo-sung),Lucid (Choi Yong-hyeok),Quid,Pullbae,Carfe,Rahel,Lospa,Loopy
LCK CL/2023 Season/Spring Season_Week 6_8_1,2023-02-23 05:09:00,13.3,31.25,Nongshim Esports Academy,KT Rolster Challengers,1,Renekton,Wukong,Akali,Lucian,Nami,Gragas,Vi,Azir,Zeri,Lulu,20,6,61543,49514,4,1,1,0,7,0,Varus,Elise,Ashe,Sejuani,Caitlyn,Maokai,Lee Sin,Sylas,Viego,Viktor,Mihile,Castle (Cho Hyeon-seong),Sounda,HamBak,Calix (Syun Hyun-bin),Feisty,Jiwoo,Hype (Byeon Jeong-hyeon),HH (Lee Hyun-ho),Reble
LCK CL/2023 Season/Spring Season_Week 6_7_1,2023-02-23 05:06:00,13.3,31.633333333333,Gen.G Global Academy,Dplus KIA Challengers,0,Gnar,Maokai,Azir,Jhin,Karma,Renekton,Lee Sin,Sylas,Caitlyn,Lux,12,18,55528,58766,0,4,1,0,5,10,Wukong,Elise,Annie,Sejuani,Ashe,Varus,LeBlanc,Jayce,Ryze,Tristana,Casting,Thanatos (Park Seung-kyu),Winner (Woo Joo-sung),Lucid (Choi Yong-hyeok),Quid,Pullbae,Carfe,Rahel,Lospa,Loopy
LCK CL/2023 Season/Spring Season_Week 6_6_1,2023-02-23 05:05:00,13.3,32.15,Liiv SANDBOX Youth,BRION Challengers,0,Gnar,Sejuani,Azir,Lucian,Nami,Renekton,Vi,Sylas,Zeri,Lulu,11,19,51923,62241,1,3,0,1,3,10,Heimerdinger,Ashe,Elise,Caitlyn,Lee Sin,Maokai,Sion,Irelia,Taliyah,Jayce,DDahyuk,Frim,Vincenzo (Ha Seung-min),Raptor (Jeon Eo-jin),Guti (Moon Jeong-hwan),Ivory,Diable,Enosh,PlanB,Pollu
LCK/2023 Season/Spring Season_Week 6_2_2,2023-02-22 11:34:00,13.3,31.483333333333,Dplus KIA,KT Rolster,1,Renekton,Nidalee,Jayce,Varus,Karma,Sion,Wukong,Akali,Caitlyn,Lux,8,5,59384,47609,4,1,1,0,8,0,Maokai,Ashe,Annie,Elise,Sejuani,Lucian,Gragas,Lee Sin,Azir,Viktor,Canna,Kiin,Canyon,Cuzz,ShowMaker,Bdd,Deft,Aiming,Kellin,Lehends
LCK/2023 Season/Spring Season_Week 6_2_1,2023-02-22 10:43:00,13.3,27.916666666667,KT Rolster,Dplus KIA,0,Gragas,Vi,Taliyah,Lucian,Nami,Renekton,Wukong,Akali,Zeri,Lulu,1,14,40948,53589,0,3,0,1,0,7,Ashe,Maokai,Caitlyn,Elise,Annie,Azir,Jax,Jayce,Kassadin,Viktor,Kiin,Canna,Cuzz,Canyon,Bdd,ShowMaker,Aiming,Deft,Lehends,Kellin
LCK/2023 Season/Spring Season_Week 6_1_2,2023-02-22 08:56:00,13.3,35.75,Nongshim RedForce,Gen.G,0,K'Sante,Wukong,Akali,Zeri,Lulu,Jax,Sejuani,Kassadin,Varus,Karma,11,20,59269,73061,2,3,0,2,2,10,Caitlyn,Maokai,Ashe,Elise,Lucian,Annie,Gnar,Gragas,Jayce,Renekton,DnDn,Doran (Choi Hyeon-joon),Sylvie,Peanut,FIESTA (An Hyeon-seo),Chovy,vital,Peyz,Peter (Jeong Yoon-su),Delight
LCK/2023 Season/Spring Season_Week 6_1_1,2023-02-22 08:06:00,13.3,29.633333333333,Nongshim RedForce,Gen.G,0,Ornn,Wukong,Akali,Zeri,Lulu,Jayce,Sejuani,Sylas,Varus,Karma,7,15,47980,60174,0,4,1,1,0,11,Caitlyn,Maokai,Ashe,Elise,Lucian,Annie,Gnar,Gragas,Kassadin,Renekton,DnDn,Doran (Choi Hyeon-joon),Sylvie,Peanut,FIESTA (An Hyeon-seo),Chovy,vital,Peyz,Peter (Jeong Yoon-su),Delight
LCK CL/2023 Season/Spring Season_Week 6_5_3,2023-02-21 13:15:00,13.3,30.95,Nongshim Esports Academy,Hanwha Life Esports Challengers,0,K'Sante,Jarvan IV,Annie,Caitlyn,Karma,Sion,Lee Sin,Syndra,Jhin,Heimerdinger,7,26,51428,61015,0,4,0,2,3,9,Varus,Elise,Ashe,Maokai,Fiora,Sejuani,LeBlanc,Wukong,Azir,Bel'Veth,Mihile,Rooster,Sounda,Guwon,Callme,Roamer,Jiwoo,Lure (Shin Jae-yoon),HH (Lee Hyun-ho),Duro
LCK CL/2023 Season/Spring Season_Week 6_5_2,2023-02-21 12:24:00,13.3,30.083333333333,Nongshim Esports Academy,Hanwha Life Esports Challengers,0,K'Sante,Viego,Syndra,Miss Fortune,Ashe,Fiora,Lee Sin,Annie,Aphelios,Nautilus,6,18,47340,59352,2,2,0,2,3,11,Varus,Elise,Heimerdinger,Maokai,Caitlyn,Sejuani,Pyke,Sivir,Blitzcrank,Nilah,Mihile,Rooster,Sounda,Guwon,Callme,Roamer,Jiwoo,Lure (Shin Jae-yoon),HH (Lee Hyun-ho),Duro
